kbo_player_id,team,player_name,position_group,source_level,sample,seasons,contact,power,plate_discipline,bat_control,timing,bunt,speed,baserunning_judgment,fielding_range,catching,throwing_power,throwing_accuracy,fielding_judgment,composure,leadership,aggressiveness,pitcher_velocity,pitcher_stuff,pitcher_command,pitcher_movement,pitcher_stamina,pitcher_pitchability,pitcher_strikeout,pitcher_walk_control,pitcher_composure,pitch_four_seam,pitch_sinker,pitch_cutter,pitch_changeup,pitch_slider,pitch_curve,pitch_splitter,pitch_sweeper,pitch_knuckleball,formula_version
78168,KIA 타이거즈,서건창,IF,KBO_2024_2025,274,2024+2025,12,12,13,13,12,1,12,13,12,12,11,12,12,11,12,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
69636,KIA 타이거즈,오선우,IF,KBO_2024_2025,481,2024+2025,12,16,9,9,11,1,9,9,8,9,9,10,8,10,11,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55645,KIA 타이거즈,위즈덤,IF,KBO_2024_2025,486,2025,9,17,13,9,10,1,12,13,10,8,13,8,10,11,13,13,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
52667,KIA 타이거즈,윤도현,IF,KBO_2024_2025,187,2024+2025,13,15,9,12,13,1,13,12,9,8,9,8,8,11,7,13,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
53659,KIA 타이거즈,정해원,IF,KBO_2024_2025,46,2025,8,9,11,9,9,1,10,10,12,11,10,10,11,11,7,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55926,KIA 타이거즈,정현창,IF,KBO_2024_2025,21,2025,10,9,10,11,11,1,11,11,11,11,11,12,11,11,6,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
65464,KIA 타이거즈,최정용,IF,KBO_2024_2025,18,2024+2025,11,11,11,11,11,1,11,11,11,11,11,11,11,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
65610,KIA 타이거즈,황대인,IF,KBO_2024_2025,64,2024+2025,9,11,9,10,10,1,10,10,11,11,11,11,11,10,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
61353,KIA 타이거즈,고종욱,OF,KBO_2024_2025,159,2024+2025,14,12,10,13,13,1,12,12,12,12,12,12,12,11,12,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
67610,KIA 타이거즈,김석환,OF,KBO_2024_2025,134,2025,11,11,12,11,11,1,10,9,12,12,10,13,12,11,9,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
65653,KIA 타이거즈,김호령,OF,KBO_2024_2025,448,2024+2025,14,14,12,11,12,1,14,14,12,9,14,8,11,12,12,13,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
62947,KIA 타이거즈,나성범,OF,KBO_2024_2025,734,2024+2025,13,16,15,11,12,1,8,8,8,11,14,13,11,13,14,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55636,KIA 타이거즈,박재현,OF,KBO_2024_2025,69,2025,8,8,10,8,8,1,12,12,10,9,11,9,9,10,6,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
67609,KIA 타이거즈,박정우,OF,KBO_2024_2025,144,2024+2025,13,9,13,12,13,1,11,12,10,11,9,13,11,12,9,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55637,KIA 타이거즈,박헌,OF,KBO_2024_2025,14,2025,10,10,10,11,11,1,11,11,11,11,11,11,11,11,6,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64560,KIA 타이거즈,이창진,OF,KBO_2024_2025,360,2024+2025,10,9,15,11,10,1,11,11,12,11,10,10,11,12,11,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
72443,KIA 타이거즈,최형우,OF,KBO_2024_2025,1036,2024+2025,16,18,16,15,16,1,11,12,11,11,11,11,11,15,15,13,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
53609,KIA 타이거즈,곽도규,P,KBO_2024_2025,270,2024+2025,,,,,,,,,,,,,,,,,10,13,9,13,9,11,14,7,10,,10,,,,10,,,,kbo-player-abilities-2024-2025-v1
76225,KIA 타이거즈,김건국,P,KBO_2024_2025,381,2024+2025,,,,,,,,,,,,,,,,,10,7,11,6,12,9,7,14,7,10,10,10,,,10,10,,,kbo-player-abilities-2024-2025-v1
69620,KIA 타이거즈,김기훈,P,KBO_2024_2025,212,2024+2025,,,,,,,,,,,,,,,,,10,13,12,14,11,13,14,12,14,10,,,10,10,,,,,kbo-player-abilities-2024-2025-v1
60337,KIA 타이거즈,김대유,P,KBO_2024_2025,164,2024+2025,,,,,,,,,,,,,,,,,6,9,11,9,9,9,8,11,8,10,,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
69745,KIA 타이거즈,김도현,P,KBO_2024_2025,906,2024+2025,,,,,,,,,,,,,,,,,12,9,14,11,16,12,5,16,12,10,10,,10,10,11,,,,kbo-player-abilities-2024-2025-v1
54645,KIA 타이거즈,김민주,P,KBO_2024_2025,25,2024+2025,,,,,,,,,,,,,,,,,8,11,11,11,10,11,11,11,10,10,,,10,,,,,,kbo-player-abilities-2024-2025-v1
63894,KIA 타이거즈,김사윤,P,KBO_2024_2025,173,2024,,,,,,,,,,,,,,,,,8,11,9,11,11,10,11,9,10,,,,,,,,,,kbo-player-abilities-2024-2025-v1
66492,KIA 타이거즈,김승현,P,KBO_2024_2025,85,2024,,,,,,,,,,,,,,,,,8,9,7,10,10,8,7,8,7,,,,,,,,,,kbo-player-abilities-2024-2025-v1
68928,KIA 타이거즈,김시훈,P,KBO_2024_2025,595,2024+2025,,,,,,,,,,,,,,,,,9,9,10,8,12,9,8,11,8,10,,,,10,10,10,,,kbo-player-abilities-2024-2025-v1
55646,KIA 타이거즈,김정엽,P,KBO_2024_2025,5,2025,,,,,,,,,,,,,,,,,12,11,11,11,10,11,11,11,11,10,,,,,,,,,kbo-player-abilities-2024-2025-v1
55610,KIA 타이거즈,김태형,P,KBO_2024_2025,107,2025,,,,,,,,,,,,,,,,,13,9,12,9,12,11,8,14,11,10,,,,10,10,10,,,kbo-player-abilities-2024-2025-v1
69516,KIA 타이거즈,김현수,P,KBO_2024_2025,114,2024+2025,,,,,,,,,,,,,,,,,10,9,9,10,10,9,8,8,11,10,,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
54640,KIA 타이거즈,네일,P,KBO_2024_2025,1306,2024+2025,,,,,,,,,,,,,,,,,13,15,16,16,18,17,16,17,18,10,10,9,10,11,10,,10,,kbo-player-abilities-2024-2025-v1
63638,KIA 타이거즈,박준표,P,KBO_2024_2025,29,2024,,,,,,,,,,,,,,,,,8,7,11,7,9,9,7,12,9,,,,,,,,,,kbo-player-abilities-2024-2025-v1
54610,KIA 타이거즈,성영탁,P,KBO_2024_2025,198,2025,,,,,,,,,,,,,,,,,8,12,14,14,11,13,8,15,16,,10,10,,,10,,,,kbo-player-abilities-2024-2025-v1
55659,KIA 타이거즈,양수호,P,FUTURES_2024_2025,35,2025,,,,,,,,,,,,,,,,,8,10,9,8,8,10,11,8,10,,,,,,,,,,kbo-player-abilities-2024-2025-v1
77637,KIA 타이거즈,양현종,P,KBO_2024_2025,1404,2024+2025,,,,,,,,,,,,,,,,,8,11,14,11,18,12,8,15,12,10,,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
55633,KIA 타이거즈,올러,P,KBO_2024_2025,620,2025,,,,,,,,,,,,,,,,,14,16,15,16,17,17,17,15,16,11,11,,10,10,10,,10,,kbo-player-abilities-2024-2025-v1
67640,KIA 타이거즈,유승철,P,KBO_2024_2025,34,2024+2025,,,,,,,,,,,,,,,,,10,11,10,12,11,11,12,10,11,10,,,,10,,,,,kbo-player-abilities-2024-2025-v1
50604,KIA 타이거즈,유지성,P,KBO_2024_2025,17,2024+2025,,,,,,,,,,,,,,,,,10,11,11,11,10,12,11,12,12,,,,,,,,,,kbo-player-abilities-2024-2025-v1
53613,KIA 타이거즈,윤영철,P,KBO_2024_2025,589,2024+2025,,,,,,,,,,,,,,,,,6,11,9,12,15,10,11,7,10,10,,10,10,10,10,,,,kbo-player-abilities-2024-2025-v1
68619,KIA 타이거즈,윤중현,P,KBO_2024_2025,110,2024+2025,,,,,,,,,,,,,,,,,9,9,10,8,10,9,9,9,10,10,,,,,10,10,,,kbo-player-abilities-2024-2025-v1
53615,KIA 타이거즈,이도현,P,KBO_2024_2025,65,2025,,,,,,,,,,,,,,,,,10,10,10,11,11,9,9,10,9,10,,,10,,10,,,,kbo-player-abilities-2024-2025-v1
55632,KIA 타이거즈,이성원,P,KBO_2024_2025,19,2025,,,,,,,,,,,,,,,,,12,11,10,11,10,10,11,10,9,10,,,,,,10,,,kbo-player-abilities-2024-2025-v1
51648,KIA 타이거즈,이의리,P,KBO_2024_2025,262,2024+2025,,,,,,,,,,,,,,,,,13,11,8,9,14,9,14,6,7,10,,,10,11,10,,,,kbo-player-abilities-2024-2025-v1
65665,KIA 타이거즈,이준영,P,KBO_2024_2025,305,2024+2025,,,,,,,,,,,,,,,,,10,12,12,9,9,13,15,13,12,9,,,,10,,,,,kbo-player-abilities-2024-2025-v1
62951,KIA 타이거즈,이형범,P,KBO_2024_2025,139,2024+2025,,,,,,,,,,,,,,,,,10,10,11,11,10,10,8,12,8,10,10,,10,10,,,,,kbo-player-abilities-2024-2025-v1
55663,KIA 타이거즈,이호민,P,KBO_2024_2025,72,2025,,,,,,,,,,,,,,,,,8,10,10,12,10,9,7,9,8,9,,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
62754,KIA 타이거즈,임기영,P,KBO_2024_2025,270,2024+2025,,,,,,,,,,,,,,,,,7,9,11,7,10,9,8,13,7,10,,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
50641,KIA 타이거즈,장재혁,P,KBO_2024_2025,20,2024+2025,,,,,,,,,,,,,,,,,11,10,10,10,10,11,11,10,11,10,,,,10,,,,,kbo-player-abilities-2024-2025-v1
66609,KIA 타이거즈,전상현,P,KBO_2024_2025,562,2024+2025,,,,,,,,,,,,,,,,,10,13,15,14,11,14,10,15,16,10,,,,10,10,10,,,kbo-player-abilities-2024-2025-v1
50662,KIA 타이거즈,정해영,P,KBO_2024_2025,485,2024+2025,,,,,,,,,,,,,,,,,13,14,14,12,11,16,16,15,14,10,,,,10,,10,,,kbo-player-abilities-2024-2025-v1
63342,KIA 타이거즈,조상우,P,KBO_2024_2025,442,2024+2025,,,,,,,,,,,,,,,,,11,13,12,12,10,12,14,11,13,10,10,,,10,,10,,,kbo-player-abilities-2024-2025-v1
52639,KIA 타이거즈,최지민,P,KBO_2024_2025,478,2024+2025,,,,,,,,,,,,,,,,,12,9,7,11,9,6,8,5,7,9,,,10,10,,,,,kbo-player-abilities-2024-2025-v1
51994,KIA 타이거즈,한재승,P,KBO_2024_2025,362,2024+2025,,,,,,,,,,,,,,,,,13,11,8,10,10,9,15,5,8,10,,,,10,,10,,,kbo-player-abilities-2024-2025-v1
52641,KIA 타이거즈,황동하,P,KBO_2024_2025,619,2024+2025,,,,,,,,,,,,,,,,,11,11,13,10,13,13,13,15,12,10,,,,10,10,10,,,kbo-player-abilities-2024-2025-v1
68050,KT 위즈,강백호,C,KBO_2024_2025,983,2024+2025,14,17,15,14,14,1,11,11,11,11,11,10,11,14,11,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
50066,KT 위즈,강현우,C,KBO_2024_2025,114,2024+2025,9,10,13,11,10,1,10,10,12,11,12,9,10,11,8,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
54097,KT 위즈,김민석,C,FUTURES_2024_2025,266,2024+2025,11,9,7,10,10,1,7,7,8,8,8,9,9,8,6,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
78548,KT 위즈,장성우,C,KBO_2024_2025,969,2024+2025,12,15,15,12,12,1,10,11,10,10,9,10,10,13,15,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
68089,KT 위즈,조대현,C,KBO_2024_2025,135,2024+2025,9,9,10,10,9,1,10,10,10,9,10,8,10,11,9,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
69064,KT 위즈,강민성,IF,KBO_2024_2025,37,2024+2025,9,9,11,9,9,1,10,10,12,12,12,12,12,11,8,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
51003,KT 위즈,권동진,IF,KBO_2024_2025,319,2024+2025,9,9,11,8,8,1,12,12,15,12,14,11,12,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
79402,KT 위즈,김상수,IF,KBO_2024_2025,843,2024+2025,13,11,15,14,13,1,11,12,14,12,14,12,13,14,14,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64007,KT 위즈,문상철,IF,KBO_2024_2025,612,2024+2025,11,14,15,11,11,1,12,12,13,13,12,14,13,12,12,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
69056,KT 위즈,박민석,IF,KBO_2024_2025,35,2024+2025,11,11,11,11,11,1,11,11,11,11,11,10,11,11,8,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55005,KT 위즈,오서진,IF,FUTURES_2024_2025,170,2025,11,9,7,10,10,1,9,10,9,8,8,8,9,8,5,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64504,KT 위즈,오윤석,IF,KBO_2024_2025,385,2024+2025,12,10,10,10,11,1,9,9,13,14,9,13,12,11,11,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
75334,KT 위즈,오재일,IF,KBO_2024_2025,343,2024,9,12,10,9,9,1,8,8,9,9,9,9,9,8,11,9,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
50092,KT 위즈,윤준혁,IF,KBO_2024_2025,36,2024+2025,9,10,9,10,9,1,12,12,11,11,12,11,11,11,8,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
68504,KT 위즈,이호연,IF,KBO_2024_2025,118,2024+2025,13,12,9,12,12,1,9,9,10,10,11,10,10,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64115,KT 위즈,장준원,IF,KBO_2024_2025,172,2024+2025,9,8,9,9,9,1,9,9,11,14,13,14,11,10,10,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
79240,KT 위즈,허경민,IF,KBO_2024_2025,958,2024+2025,16,11,13,15,15,1,12,13,8,10,9,13,9,13,14,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
76313,KT 위즈,황재균,IF,KBO_2024_2025,960,2024+2025,13,13,10,13,13,1,11,11,10,10,12,10,10,13,15,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
51005,KT 위즈,김건형,OF,KBO_2024_2025,26,2024+2025,10,11,10,11,11,1,11,10,11,11,11,11,11,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64004,KT 위즈,김민혁,OF,KBO_2024_2025,810,2024+2025,16,9,11,15,15,1,13,13,9,9,11,9,9,12,12,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
52002,KT 위즈,김병준,OF,KBO_2024_2025,21,2024+2025,11,10,11,11,11,1,11,11,11,11,11,11,11,11,7,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55004,KT 위즈,박민석,OF,FUTURES_2024_2025,97,2025,7,7,8,7,8,1,9,9,9,9,9,9,9,8,5,9,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64166,KT 위즈,배정대,OF,KBO_2024_2025,749,2024+2025,10,11,10,10,9,1,13,12,10,11,11,12,10,10,11,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64012,KT 위즈,송민섭,OF,KBO_2024_2025,20,2024,10,9,10,10,10,1,10,10,9,9,8,9,9,8,10,9,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55013,KT 위즈,스티븐슨,OF,KBO_2024_2025,168,2025,12,13,11,11,11,1,12,12,10,9,11,9,10,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
67006,KT 위즈,안치영,OF,KBO_2024_2025,104,2024+2025,11,10,10,11,11,1,11,11,12,12,10,12,11,11,9,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
52001,KT 위즈,안현민,OF,KBO_2024_2025,511,2024+2025,17,17,17,16,16,1,13,13,13,9,14,6,12,15,9,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
51013,KT 위즈,유준규,OF,KBO_2024_2025,41,2025,9,10,12,9,9,1,12,12,11,11,12,12,11,11,8,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
67644,KT 위즈,이정훈,OF,KBO_2024_2025,264,2024+2025,11,12,12,9,10,1,9,10,11,11,10,11,10,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
66706,KT 위즈,장진혁,OF,KBO_2024_2025,484,2024+2025,9,13,10,10,9,1,13,13,13,11,13,10,13,11,11,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
51007,KT 위즈,최성민,OF,KBO_2024_2025,21,2025,10,9,10,10,10,1,11,11,11,11,11,10,11,11,8,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
53006,KT 위즈,강건,P,KBO_2024_2025,50,2024+2025,,,,,,,,,,,,,,,,,10,9,9,8,11,7,8,7,7,10,,,,10,10,,,,kbo-player-abilities-2024-2025-v1
64001,KT 위즈,고영표,P,KBO_2024_2025,1141,2024+2025,,,,,,,,,,,,,,,,,5,14,16,15,18,17,15,18,16,10,11,10,11,10,10,,,,kbo-player-abilities-2024-2025-v1
55040,KT 위즈,김동현,P,KBO_2024_2025,19,2025,,,,,,,,,,,,,,,,,12,10,10,9,10,10,12,11,9,10,,,,,,10,,,kbo-player-abilities-2024-2025-v1
65048,KT 위즈,김민수,P,KBO_2024_2025,588,2024+2025,,,,,,,,,,,,,,,,,9,11,13,10,11,13,9,15,12,10,,10,10,10,,,,,kbo-player-abilities-2024-2025-v1
55043,KT 위즈,김재원,P,KBO_2024_2025,24,2025,,,,,,,,,,,,,,,,,11,11,9,11,10,10,11,7,9,10,,,,10,,,,,kbo-player-abilities-2024-2025-v1
51299,KT 위즈,김주완,P,FUTURES_2024_2025,105,2024+2025,,,,,,,,,,,,,,,,,8,8,9,8,7,8,9,9,8,,,,,,,,,,kbo-player-abilities-2024-2025-v1
67419,KT 위즈,문용익,P,KBO_2024_2025,220,2024+2025,,,,,,,,,,,,,,,,,12,12,9,11,12,11,15,6,11,10,,,,,10,11,,,kbo-player-abilities-2024-2025-v1
55046,KT 위즈,박건우,P,KBO_2024_2025,28,2025,,,,,,,,,,,,,,,,,10,12,11,11,10,12,14,11,13,10,,,,10,10,,,,kbo-player-abilities-2024-2025-v1
52060,KT 위즈,박영현,P,KBO_2024_2025,615,2024+2025,,,,,,,,,,,,,,,,,13,14,12,10,11,14,17,10,14,12,,10,10,11,,,,,kbo-player-abilities-2024-2025-v1
65516,KT 위즈,배제성,P,KBO_2024_2025,127,2025,,,,,,,,,,,,,,,,,12,11,12,11,12,12,11,13,10,11,,,10,10,,,,,kbo-player-abilities-2024-2025-v1
50109,KT 위즈,성재헌,P,KBO_2024_2025,159,2024,,,,,,,,,,,,,,,,,8,8,10,9,10,9,7,12,7,,,,,,,,,,kbo-player-abilities-2024-2025-v1
50030,KT 위즈,소형준,P,KBO_2024_2025,647,2024+2025,,,,,,,,,,,,,,,,,10,13,16,15,17,16,13,17,16,,11,10,10,,10,,,,kbo-player-abilities-2024-2025-v1
69041,KT 위즈,손동현,P,KBO_2024_2025,471,2024+2025,,,,,,,,,,,,,,,,,11,12,14,11,11,14,13,16,14,10,,,,,10,10,,,kbo-player-abilities-2024-2025-v1
50859,KT 위즈,오원석,P,KBO_2024_2025,1115,2024+2025,,,,,,,,,,,,,,,,,10,13,12,12,17,13,13,12,14,11,,,11,10,10,,,,kbo-player-abilities-2024-2025-v1
73117,KT 위즈,우규민,P,KBO_2024_2025,366,2024+2025,,,,,,,,,,,,,,,,,5,12,15,14,10,14,7,17,16,10,,10,10,10,10,,,,kbo-player-abilities-2024-2025-v1
54063,KT 위즈,원상현,P,KBO_2024_2025,583,2024+2025,,,,,,,,,,,,,,,,,12,9,9,9,12,9,10,7,9,10,10,,10,,10,,,,kbo-player-abilities-2024-2025-v1
69054,KT 위즈,이상동,P,KBO_2024_2025,320,2024+2025,,,,,,,,,,,,,,,,,12,13,14,12,11,15,13,16,15,11,,,,10,,10,,,kbo-player-abilities-2024-2025-v1
69068,KT 위즈,이선우,P,KBO_2024_2025,45,2024,,,,,,,,,,,,,,,,,8,10,10,11,10,10,9,10,10,,,,,,,,,,kbo-player-abilities-2024-2025-v1
67048,KT 위즈,이정현,P,KBO_2024_2025,27,2025,,,,,,,,,,,,,,,,,12,11,10,11,9,10,9,10,8,10,,,,10,,,,,kbo-player-abilities-2024-2025-v1
68896,KT 위즈,이채호,P,KBO_2024_2025,90,2024+2025,,,,,,,,,,,,,,,,,10,10,11,10,10,11,10,12,10,9,,,10,,10,,,,kbo-player-abilities-2024-2025-v1
69623,KT 위즈,이태규,P,FUTURES_2024_2025,121,2024+2025,,,,,,,,,,,,,,,,,8,8,7,10,8,7,5,6,8,,,,,,,,,,kbo-player-abilities-2024-2025-v1
54014,KT 위즈,이현민,P,FUTURES_2024_2025,193,2024+2025,,,,,,,,,,,,,,,,,8,9,10,9,8,9,8,10,9,,,,,,,,,,kbo-player-abilities-2024-2025-v1
69113,KT 위즈,임준형,P,KBO_2024_2025,104,2024+2025,,,,,,,,,,,,,,,,,10,11,10,12,10,10,10,9,10,10,,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
69047,KT 위즈,전용주,P,KBO_2024_2025,77,2024+2025,,,,,,,,,,,,,,,,,13,11,11,13,9,11,11,11,11,10,,,,10,,,,,kbo-player-abilities-2024-2025-v1
64768,KT 위즈,조이현,P,KBO_2024_2025,234,2024+2025,,,,,,,,,,,,,,,,,8,8,13,8,13,11,6,16,10,10,,,,10,10,10,,,kbo-player-abilities-2024-2025-v1
65060,KT 위즈,주권,P,KBO_2024_2025,430,2024+2025,,,,,,,,,,,,,,,,,10,9,13,10,11,11,5,16,11,10,10,,10,10,,,,,kbo-player-abilities-2024-2025-v1
79140,KT 위즈,최동환,P,KBO_2024_2025,196,2024+2025,,,,,,,,,,,,,,,,,9,8,9,6,10,7,7,9,7,10,,,,10,10,10,,,kbo-player-abilities-2024-2025-v1
50650,KT 위즈,최용준,P,KBO_2024_2025,39,2025,,,,,,,,,,,,,,,,,10,11,12,12,10,12,9,13,13,10,,10,10,,,,,,kbo-player-abilities-2024-2025-v1
55032,KT 위즈,패트릭,P,KBO_2024_2025,267,2025,,,,,,,,,,,,,,,,,14,12,13,14,14,13,10,14,15,11,10,,10,10,10,,,,kbo-player-abilities-2024-2025-v1
51058,KT 위즈,한차현,P,KBO_2024_2025,114,2024+2025,,,,,,,,,,,,,,,,,12,10,9,10,10,9,10,9,8,10,,,,,,10,,,kbo-player-abilities-2024-2025-v1
54354,KT 위즈,헤이수스,P,KBO_2024_2025,1440,2024+2025,,,,,,,,,,,,,,,,,14,15,16,11,18,17,17,17,15,12,11,,11,11,10,,,,kbo-player-abilities-2024-2025-v1
53144,LG 트윈스,김범석,C,KBO_2024_2025,180,2024,10,12,11,9,10,1,9,9,9,9,9,9,9,9,6,9,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
52105,LG 트윈스,김성우,C,KBO_2024_2025,10,2024+2025,11,11,11,11,11,1,11,11,11,11,11,11,11,11,7,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
62558,LG 트윈스,김준태,C,KBO_2024_2025,32,2024+2025,11,11,11,11,12,1,11,10,11,11,11,11,11,11,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
79365,LG 트윈스,박동원,C,KBO_2024_2025,1021,2024+2025,12,16,15,11,13,1,12,13,12,11,13,10,13,14,15,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
52154,LG 트윈스,이주헌,C,KBO_2024_2025,162,2024+2025,11,13,14,11,11,1,9,9,11,10,10,9,11,12,7,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
55100,LG 트윈스,이한림,C,FUTURES_2024_2025,58,2025,8,7,9,9,8,1,8,8,9,9,9,9,9,9,5,9,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
